horse_name,section,show_class,show,rider,place,entries,points
Horse: #Hollywood        #20004   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #7,Gracyn Williams,6,18,3
Horse: 2 0C        #16145   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2b,World Equestrian Center Winter Classic #17,Berkleigh Blackport,4,8,5
Horse: 22 Stitches        #19917   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #6,Lily Sties,7,18,2
Horse: 24k Magic        #20547   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #8,Clair L. Kellner,6,22,3
Horse: 7 Line Express        #21846   ,.65m Jumper Children's/Adult,$100 .65m Jumper Child/Adult 343.b,World Equestrian Ocala Winter Spectacular #12,Fianna Roberts-Squier,3,19,6
Horse: 9 to 5        #17866   ,Medium Green Pony Hunter,$200 Green Pony Hunter,World Equestrian Ocala Winter Spectacular #3,Charlotte Rowe,7,7,2
Horse: A Bit Lucky        #21921   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #12,Izzy J. Beisel,6,10,3
Horse: A Grand Gesture        #19246   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #5,Angel Romano,4,14,5
Horse: A Hole In One        #22087   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #12,Morgan Wright,2,15,7
Horse: A Lacey Remembrance        #18366   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Samantha Baggett,2,19,7
Horse: A Little Zen        #13871   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Alexandra J. Binetti,4,24,5
Horse: A Propos        #17248   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #8,Kathryn E. Dozier,3,23,6
Horse: A Royal Obsession        #18368   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Naomi Gillen,8,25,1
Horse: A.K.A. MTM        #17617   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #1,Katherine Huffstutler,8,10,1
Horse: Â?RÂ? Time to Dream        #20588   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #8,Nicole McFadyen,1,29,10
Horse: Aarhus        #18370   ,Low Children's Jumper,$750 Low Children's Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Sadie Barnett,1,28,10
Horse: Abazu BSM        #17397   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Mckenna Newton,1,9,8
Horse: Abby Dabby Doo        #18372   ,Small Pony Hunter,"$300 Small Pony Hunter 2'3""",World Equestrian Ocala Winter Spectacular #5,Kolbie Watson,4,5,5
Horse: ABC Quantum Cruise        #18373   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Diego Perez Bilbao,5,27,4
Horse: About Time        #15048   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #1,Anna Schierholz,3,15,6
Horse: Abracadabra ES        #17593   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 343.b,World Equestrian Ocala Winter Spectacular #1,Hanley T. Morrison,2,9,7
